GRIDCODE,XCOO,YCOO,AREA,PERIMETER,X_COORD,Y_COORD,OceanTag,LenCoast,PctLand,NPPMN,NPPMX,PctLand,temp,wetdays,Plants,Mammals,Precip_ratio_end21st_start_21st_c,temp_2091_2099,wetdays_2091_2099,wetdays_2091_2099_capped,Amphib,Reptile,Bird,PlantsNorm,AmphibsNorm,ReptilesNorm,MammalsNorm,LandEctoNorm,LandAllNorm
119,29,3,791315.204,3558.236,48,40.03754,Land,3005.746045,1,3194.159603,20177,1,10.56022772,8.046093443,2289.68,173,0.93484378,18.33598596,7.521840408,7.521840408,20,78,375,0.367609849,0.033726813,0.221590909,0.406103286,0.207642524,0.257257714
120,30,3,791315.204,3558.236,56,40.03754,Land,2666.149151,1,685.422014,14929,1,13.22414276,4.691930432,1046.09,123,1.03653553,20.70062886,4.863352597,4.863352597,15,36,344,0.167950538,0.02529511,0.102272727,0.288732394,0.098506125,0.146062692
121,31,3,791315.204,3558.236,64,40.03754,Land,187.1704941,0.990678,852.4512249,4220,0.990678,12.94390226,4.965552585,1731.21,124,0.97268208,20.67948654,4.829904017,4.829904017,3,19,337,0.27794707,0.005059022,0.053977273,0.291079812,0.112327788,0.157015794
122,32,3,791315.204,3558.236,72,40.03754,Land,0,0.999999,1838.763332,8748,0.999999,5.724041889,7.686816696,2121.82,190,0.92597886,14.31186657,7.117829761,7.117829761,15,27,503,0.340659799,0.02529511,0.076704545,0.44600939,0.147553151,0.222167211
123,33,3,791315.204,3558.236,80,40.03754,Land,0,0.999999,1945.104489,8596,0.999999,3.811066548,5.649160725,2162.33,134,0.86044335,12.09733347,4.860782779,4.860782779,8,19,348,0.34716371,0.013490725,0.053977273,0.314553991,0.138210569,0.182296425
124,34,3,791315.204,3558.236,88,40.03754,Land,0,0.999999,1009.42373,4192,0.999999,3.417639632,4.919177065,2338.96,105,0.94374707,10.6739627,4.642458942,4.642458942,1,12,252,0.37552179,0.001686341,0.034090909,0.246478873,0.13709968,0.164444478
125,35,3,791315.204,3558.236,96,40.03754,Land,0,0.999999,1008.246622,6627,0.999999,2.36748366,4.944266191,1507.23,123,1.00339896,9.20313921,4.961071554,4.961071554,2,10,267,0.241986912,0.003372681,0.028409091,0.288732394,0.091256228,0.14062527
126,36,3,791315.204,3558.236,104,40.03754,Land,0,0.999999,2053.268363,10960,0.999999,5.50887552,5.957872846,1599.86,173,0.98461266,12.35858752,5.866197031,5.866197031,14,13,374,0.256858728,0.023608769,0.036931818,0.406103286,0.105799772,0.18087565
127,37,3,791315.204,3558.236,112,40.03754,Land,0,0.999999,2051.761005,7493,0.999999,7.132152406,6.590463458,1960.55,138,0.98915475,14.13327526,6.518988234,6.518988234,14,13,323,0.314767779,0.023608769,0.036931818,0.323943662,0.125102789,0.174813007
128,38,3,791315.204,3558.236,120,40.03754,Pacific,5239.429693,0.720889,2965.145998,15280,0.720889,7.928365907,6.908577633,2139,115,1.04553961,15.16285279,7.223191564,7.223191564,16,7,359,0.343418061,0.02698145,0.019886364,0.269953052,0.130095292,0.165059732
